,user_name,game_name,title,viewer_count,started_at,api_call_time
64,MOTOR,Fortnite,FNCS HEAT 1 VIEWINGPARTY WATCHING X8 / ANDILEX /K1nzel !twitter !insta ,2204,2021-05-22 13:08:34,2021-05-22T15:06:07.937450
65,itsHafu,VALORANT,HAFU -- big noob,2184,2021-05-22 14:30:36,2021-05-22T15:06:07.937450
66,Merk,Call of Duty: Warzone,"Hello, my friends! Code ""MERK"" IN COD STORE #CodPartner !ghost | !cod",2156,2021-05-22 12:37:07,2021-05-22T15:06:07.937450
67,ESL_CSGO,Counter-Strike: Global Offensive,RERUN: Gambit vs. G2 Esports [Inferno] Map 1 - DreamHack Masters Spring 2021 - Semifinals,2117,2021-05-22 04:04:16,2021-05-22T15:06:07.937450
68,AverageJonas,VALORANT,Vikings vs Shark Esports | VCT BR FINALS WATCH PARTY (VOD),2111,2021-05-22 11:28:44,2021-05-22T15:06:07.937450
69,Yogscast,Minecraft,"MEGA MINECRAFT CAPTURE THE WOOL REMASTERED!!! w/ Boba, Ped and all the YOGs!",2105,2021-05-22 12:57:30,2021-05-22T15:06:07.937450
70,flamuu,Subnautica: Below Zero,no backseating apes,2101,2021-05-22 10:29:31,2021-05-22T15:06:07.937450
71,Kephrii,Overwatch,Widow Main - !ow2 !prime,2036,2021-05-22 03:41:52,2021-05-22T15:06:07.937450
72,Posty,Rust,30% OFF TILL 24TH !GFUEL !NORDVPN ,2031,2021-05-22 09:04:24,2021-05-22T15:06:07.937450
73,GloriaMatvien,Just Chatting,💖 lets DANCE together 💖 Have a nice day 😉 !IG !dance !roulette,2029,2021-05-22 10:29:34,2021-05-22T15:06:07.937450
74,bnans,VALORANT,what am i doing,2021,2021-05-22 01:15:47,2021-05-22T15:06:07.937450
75,MurderCrumpet,VRChat,Bursting with Extra Crumpet and 24 Hours of Screams on this Super Stream! !socials,2010,2021-05-22 05:31:47,2021-05-22T15:06:07.937450
76,bebe872,Teamfight Tactics,Rank 7 & 13 KR :D Playing Only Non Meta Builds!! :D,2004,2021-05-22 05:05:49,2021-05-22T15:06:07.937450
77,Badlinu,Just Chatting,I Am OUTSIDE In Liverpool,1968,2021-05-22 15:01:47,2021-05-22T15:06:07.937450
78,Wallibear,Minecraft,🔴 BEDWARS KING👑 !yt !vid !ffz !discord | Minecraft Hypixel Bedwars,1923,2021-05-22 14:48:36,2021-05-22T15:06:07.937450
79,SophiaGamblez,Slots,💎 Road to 30+ BTC / $50K GIVEAWAY! Passive Income @ $200/day strategy - !stake To Follow The Strategy 💎,1917,2021-05-22 05:31:49,2021-05-22T15:06:07.937450
80,Euriece,Outlast,やぁ | !artesian !kovaak !completed,1913,2021-05-22 08:01:38,2021-05-22T15:06:07.937450
81,Harry,Grand Theft Auto V,Harry Brown | NoPixel,1910,2021-05-22 11:10:26,2021-05-22T15:06:07.937450
82,Sjow,Hearthstone,10.1k start 11k by end of month or?,1902,2021-05-22 10:49:23,2021-05-22T15:06:07.937450
83,nugiyen,Path of Exile,BPL - TEAM ORDER GOGOGO! Penance Brand Inq !corpserider !bpl !newvideo,1896,2021-05-21 18:11:07,2021-05-22T15:06:07.937450
84,Towelliee,World of Warcraft,!UI !TBC LvL 35+ SM/Mara! BE Paladin P.R.E.P | 30% OFF !GFUEL !ORIGIN !GUNNAR !STORE | Twitter @towelthetank,1854,2021-05-22 13:25:08,2021-05-22T15:06:07.937450
85,Jay3,Overwatch,NEW EMOTES FOR YOU 3HEADS | !gfuel !corsair !social !merch,1833,2021-05-22 13:41:10,2021-05-22T15:06:07.937450
